,height,date,difficulty,gaslimit,rate,gaspricel1,confirmtime,transaction_count,size,reward,rewardl1,gaslimitbl1,gasprice
1,7128596,26102637,2.70E+15,150000,107.11,1.6,12,95,15758,3.07,3.08,8000029,1.545
2,7128597,26102657,2.70E+15,104346,115,1.545,30,100,21960,3.09,3.07,8000029,2
3,7128598,26102701,2.70E+15,52412,118.5,2,15,1,4882,3.03,3.09,8000029,8.05
4,7128599,26102731,2.70E+15,420000,108.84,8.05,23,110,27659,3.09,3.03,8000029,2
5,7128600,26102741,2.70E+15,21040,116.4,2,1,20,12041,3.05,3.09,8000029,1.6
6,7128601,26102751,2.70E+15,70000,119.13,1.6,7,62,17601,3.04,3.05,8000029,1.545
7,7128602,26102758,2.70E+15,3000000,116.16,1.545,5,23,9797,3.03,3.04,8000000,1.3
8,7128605,26102859,2.70E+15,250000,99.21,1.3,32,78,20715,3.09,3.03,8000029,1.6
9,7128606,26102908,2.70E+15,21000,129.87,1.6,2,49,13332,3.04,3.09,8000029,1.6
10,7128607,26102911,2.70E+15,55000,108.11,1.6,1,127,22324,3.08,3.04,8000000,2
11,7128609,26103004,2.70E+15,90000,114.94,2,2,25,13586,3.11,3.08,8000029,1
12,7128611,26103057,2.70E+15,21000,136.05,1,13,46,16067,3.06,3.11,8000029,1.6
13,7128613,26103105,2.70E+15,50000,116.33,1.6,46,32,9010,3.02,3.06,8000029,1
14,7128615,26103146,2.70E+15,50000,95.24,1,43,49,29661,3.06,3.02,8000029,2
15,7128616,26103232,2.70E+15,21000,119.05,2,1,9,15238,3.21,3.06,8000029,6.63
16,7128617,26103246,2.70E+15,50000,95.24,6.63,11,53,29667,3.06,3.21,8000029,1.6
17,7128618,26103326,2.70E+15,210000,109.09,1.6,19,55,26500,3.1,3.06,8000029,2
18,7128619,26103344,2.70E+15,60000,111.64,2,9,99,32243,3.07,3.1,8000029,2
19,7128620,26103538,2.68E+15,65000,102.02,2,77,103,30204,3.15,3.07,8000029,8.05
20,7128621,26103543,2.68E+15,350000,116.2,8.05,17,97,25957,3.08,3.15,8000029,4
21,7128622,26103553,2.68E+15,52967,94.4,4,71,86,21925,3.04,3.08,8000000,1.6
22,7128624,26103618,2.68E+15,53000,116.4,1.6,165,67,22479,3.04,3.04,8000029,1.6
23,7128625,26103628,2.69E+15,60000,136.05,1.6,5,29,19232,3.03,3.04,8000021,1.6
24,7128626,26103657,2.68E+15,50000,95.24,1.6,10,130,25131,3.07,3.03,8000029,1.6
25,7128627,26103721,2.68E+15,21000,119.05,1.6,4,120,28464,3.06,3.07,8000029,1
26,7128630,26103805,2.68E+15,121045,125.17,1,3,16,7166,3.04,3.06,8000029,1.6
27,7128631,26103809,2.68E+15,50000,95.24,1.6,28,7,6619,3.02,3.04,8000029,5
28,7128632,26103811,2.69E+15,352741,120.92,5,30,17,7550,3.02,3.02,8000000,1.545
29,7128633,26103812,2.69E+15,1152867,109.48,1.545,64,3,2434,3.01,3.02,8000029,1.511
30,7128635,26103827,2.69E+15,55000,114.94,1.511,191,1,2190,3.01,3.01,8000029,1.545
31,7128636,26103846,2.69E+15,21000,126.98,1.545,15,39,28043,3.1,3.01,8000029,1.1
32,7128638,26103954,2.68E+15,55921,115.8,1.1,43,51,25464,3.03,3.1,8000029,2
33,7128639,26104039,2.68E+15,60000,85.59,2,11,165,33518,3.13,3.03,8000029,2
34,7128641,26104109,2.68E+15,60000,131.78,2,7,53,22256,3.07,3.13,8000029,2
35,7128642,26104119,2.68E+15,52967,116.41,2,6,1,2001,3.01,3.07,8000029,1.6
36,7128645,26104228,2.68E+15,90000,116.36,1.6,64,28,14086,3.02,3.01,8000029,1.6
