,gaspricel1,difficulty,gaslimit,rate,confirmtime,transaction_count,size,reward,gasprice
0,1.6,2.70E+15,60000,115.89,37,155,28672,3.08,1.6
1,1.6,2.70E+15,150000,107.11,12,95,15758,3.07,1.545
2,1.545,2.70E+15,104346,115,30,100,21960,3.09,2
3,2,2.70E+15,52412,118.5,15,1,4882,3.03,8.05
4,8.05,2.70E+15,420000,108.84,23,110,27659,3.09,2
5,2,2.70E+15,21040,116.4,1,20,12041,3.05,1.6
6,1.6,2.70E+15,70000,119.13,7,62,17601,3.04,1.545
7,1.545,2.70E+15,3000000,116.16,5,23,9797,3.03,1.3
8,1.3,2.70E+15,250000,99.21,32,78,20715,3.09,1.6
9,1.6,2.70E+15,21000,129.87,2,49,13332,3.04,1.6
10,1.6,2.70E+15,55000,108.11,1,127,22324,3.08,2
11,2,2.70E+15,90000,114.94,2,25,13586,3.11,1
12,1,2.70E+15,21000,136.05,13,46,16067,3.06,1.6
13,1.6,2.70E+15,50000,116.33,46,32,9010,3.02,1
14,1,2.70E+15,50000,95.24,43,49,29661,3.06,2
15,2,2.70E+15,21000,119.05,1,9,15238,3.21,6.63
16,6.63,2.70E+15,50000,95.24,11,53,29667,3.06,1.6
17,1.6,2.70E+15,210000,109.09,19,55,26500,3.1,2
18,2,2.70E+15,60000,111.64,9,99,32243,3.07,2
19,2,2.68E+15,65000,102.02,77,103,30204,3.15,8.05
20,8.05,2.68E+15,350000,116.2,17,97,25957,3.08,4
21,4,2.68E+15,52967,94.4,71,86,21925,3.04,1.6
22,1.6,2.68E+15,53000,116.4,165,67,22479,3.04,1.6
23,1.6,2.69E+15,60000,136.05,5,29,19232,3.03,1.6
24,1.6,2.68E+15,50000,95.24,10,130,25131,3.07,1.6
25,1.6,2.68E+15,21000,119.05,4,120,28464,3.06,1
26,1,2.68E+15,121045,125.17,3,16,7166,3.04,1.6
27,1.6,2.68E+15,50000,95.24,28,7,6619,3.02,5
28,5,2.69E+15,352741,120.92,30,17,7550,3.02,1.545
29,1.545,2.69E+15,1152867,109.48,64,3,2434,3.01,1.511
30,1.511,2.69E+15,55000,114.94,191,1,2190,3.01,1.545
31,1.545,2.69E+15,21000,126.98,15,39,28043,3.1,1.1
32,1.1,2.68E+15,55921,115.8,43,51,25464,3.03,2
33,2,2.68E+15,60000,85.59,11,165,33518,3.13,2
34,2,2.68E+15,60000,131.78,7,53,22256,3.07,2
35,2,2.68E+15,52967,116.41,6,1,2001,3.01,1.6
36,1.6,2.68E+15,90000,116.36,64,28,14086,3.02,1.6
37,1.6,2.68E+15,116189,114.76,21,86,28550,3.11,3
38,3,2.68E+15,21000,95.24,15,32,5706,3.03,10
39,10,2.68E+15,90000,119.05,5,5,3072,3.01,25.844
40,25.844,2.68E+15,21000,119.05,9,148,33942,3.06,1
41,1,2.67E+15,67596,119.45,9,58,21754,3.04,1.6
42,1.6,2.68E+15,113532,82.58,2,43,10139,3.03,1.6
43,1.6,2.68E+15,1000000,114.72,5,29,14513,3.07,1.3
44,1.3,2.68E+15,37169,100.89,6,97,19057,3.21,5
45,5,2.68E+15,79857,93.92,16,17,4428,3.01,1.545
46,1.545,2.68E+15,79857,93.92,39,23,7469,3.02,1.7
47,1.7,2.68E+15,21000,136.05,8,39,10387,3.04,1.6
48,1.6,2.68E+15,60000,116.4,17,19,5221,3.01,1.6
49,1.6,2.69E+15,90000,114.94,6,51,11477,3.06,1.6
50,1.6,2.68E+15,107000,108.44,24,140,28312,3.09,1.1
51,1.1,2.68E+15,54838,109.41,178,3,8317,3.03,1.469
52,1.469,2.69E+15,50000,116.19,16,25,10028,3.04,1
53,1,2.69E+15,70000,119.13,7,20,6711,3.04,20
54,20,2.68E+15,400000,115.43,17,103,26797,3.14,1.545
55,1.545,2.68E+15,70000,118.93,9,54,10648,3.04,2
56,2,2.69E+15,52903,116.28,47,40,12316,3.11,1
57,1,2.69E+15,6720000,120.56,29,10,3331,3.01,4
58,4,2.69E+15,1600000,127.87,59,10,4533,3.01,3
59,3,2.69E+15,60000,116.23,100,23,12126,3.02,1.545
60,1.545,2.69E+15,60000,132.21,4,45,22403,3.1,2.317
61,2.317,2.68E+15,62656,118.96,4,66,24330,3.06,1.5
62,1.5,2.68E+15,1000000,116.28,46,2,3726,3.01,1.545
63,1.545,2.70E+15,100000,115.77,26,12,11008,3.02,1.6
64,1.6,2.69E+15,1000000,112.71,22,20,16749,3.04,1.545
65,1.545,2.69E+15,50000,116.38,27,29,17692,3.02,1
66,1,2.70E+15,7607448,114.12,19,3,3780,3.01,2
67,2,2.70E+15,90000,116.33,2,15,8857,3.03,1.6
68,1.6,2.70E+15,21000,136.05,19,34,17765,3.13,2
69,2,2.70E+15,90000,115.48,48,14,30997,3.08,2
70,2,2.70E+15,70000,119.13,4,40,13265,3.04,1.7
71,1.7,2.70E+15,500000,78.7,12,1,9059,3.05,2.4
72,2.4,2.70E+15,21000,95.24,4,25,6991,3.02,2
