,difficulty,gaslimit,gasused,gaspricel1,gaspricel2
3126,1942360000000000.0,8003917,7996556,1.0,0.1
5544,1924140000000000.0,8000000,7991856,1.0,1.0
5532,1925090000000000.0,8000029,4690613,1.0,1.0
3437,1902730000000000.0,7980581,7977844,10.0,10.0
8810,1887170000000000.0,8000029,6902211,10.0,1.0
5271,1919570000000000.0,8000029,7999234,1.0,1.0
2589,2008260000000000.0,7999992,3680237,104.0,1.0
8767,1876180000000000.0,7996107,7991166,20.0,10.0
303,1912630000000000.0,7991519,7981414,10.0,1.0
8242,1903220000000000.0,7992222,7986446,10.0,1.0
3668,1888720000000000.0,7992222,6017225,10.0,1.0
5070,1930940000000000.0,8003918,7986420,1.0,100.0
4934,1934780000000000.0,7992222,7977118,1.0,1.0
3548,1896170000000000.0,7999992,6541473,10.0,1.0
1436,1954610000000000.0,7998586,7993896,1.0,1.0
7815,1919290000000000.0,8000000,7981101,100.0,1.0
6263,1927570000000000.0,8002500,7995676,10.0,10.0
376,1912580000000000.0,7992222,7979223,105.0,1.0
1869,1938250000000000.0,8000029,7926898,1.0,10.0
8732,1886310000000000.0,7984452,7970830,1.0,1.0
3405,1907400000000000.0,8000029,7979822,10.0,1.0
7868,1908980000000000.0,8000029,7991494,104.0,100.0
1658,1940240000000000.0,8000029,6338876,10.0,10.0
755,1920850000000000.0,7980567,2240653,10.0,0.1
3945,1933420000000000.0,8000029,4619422,1.0,10.0
6433,1914340000000000.0,7968912,7911062,10.0,104.0
6246,1934180000000000.0,7984452,5192776,1.0,1.0
290,1910770000000000.0,7992999,7877328,20.0,1.0
5649,1929740000000000.0,7992222,1543246,1.0,1.0
3254,1903760000000000.0,7992222,7982257,10.0,1.0
3044,1952870000000000.0,7992222,2020402,10.0001,1.0
2118,1965780000000000.0,8007839,8004551,1.0,1.0
4832,1950010000000000.0,8000029,7926869,100.0,10.0
5474,1928880000000000.0,8000029,1832756,10.0,1.0
501,1899490000000000.0,8003923,8001282,1.0,1.0
4939,1938560000000000.0,7996070,1990788,10.0,120.0
4914,1941420000000000.0,7996144,7977442,20.0,10.0
5576,1926940000000000.0,7999918,4961772,10.0,10.0
1539,1933670000000000.0,7980533,7950329,0.1,10.0
8307,1880070000000000.0,7999992,7992448,10.0,10.0
1211,1922520000000000.0,8000000,7994200,10.0,10.0
7351,1961190000000000.0,8000489,7999136,10.0,1.0
7985,1884840000000000.0,7980567,7971954,10.0,100.0
672,1915270000000000.0,7968764,4217623,10.0,0.1
6249,1931350000000000.0,7976682,7955731,10.0,15.27761101
5963,1916450000000000.0,8000029,4185137,10.0,10.0
5007,1945180000000000.0,7976682,7970187,13.0001,10.0
6452,1913400000000000.0,7972834,7939541,100.0,0.1
5013,1944220000000000.0,8000029,7997264,1.0,10.0
7427,1980410000000000.0,8011661,7964094,10.0,1.0
1464,1942220000000000.0,8007812,7997055,1.0,100.0
7199,1950760000000000.0,8000000,7992427,0.1,20.0
7465,1983300000000000.0,8000000,7993420,10.0,1.0
1192,1917830000000000.0,8000648,7982128,10.0,10.0
7306,1948800000000000.0,8000029,6709026,1.0,1.0
2264,1994720000000000.0,7973463,7447531,1.0,1.0
421,1902310000000000.0,8003761,8000136,10.0,15.5
505,1899490000000000.0,8000000,7989297,10.0,10.0
7497,1993970000000000.0,8000029,7994647,1.0,1.0
2623,1998460000000000.0,8000029,5741382,0.1,10.0
1582,1937440000000000.0,7992222,7966167,10.0,10.0
506,1899490000000000.0,7992222,6133076,1.0,10.0
3006,1949080000000000.0,7996107,7950094,1.0,1.0
2405,1976230000000000.0,8001746,7984954,10.0,1.0
5261,1918640000000000.0,8000029,7986771,10.0,1.0
2926,1950070000000000.0,8011579,7974870,1.0,1.0
621,1913420000000000.0,7992222,7975677,20.0,11.0
2126,1963860000000000.0,7996107,7986970,1.0,1.0
3181,1932850000000000.0,8000000,7997762,19.67164006,120.0
5215,1911180000000000.0,8001256,7983930,1326.236476,100.0
3574,1888750000000000.0,8000029,7991790,1.0,1.0
6322,1927550000000000.0,7984452,5420763,1.0,10.0
3601,1890590000000000.0,8000029,7212120,10.0,10.0
347,1904200000000000.0,7992185,6630267,21.0,10.0
797,1935910000000000.0,7978162,1325863,1.0,10.0
7380,1965020000000000.0,7999992,7952243,10.0,10.0
3680,1889640000000000.0,8000000,7986752,120.0,10.0
8268,1884690000000000.0,8003934,7987191,10.0,20.0
7346,1960230000000000.0,7988337,4082834,0.1,10.0
8575,1866230000000000.0,7992259,7948226,20.0,10.0
312,1914490000000000.0,8000029,7578124,1.0,1.0
4508,1966470000000000.0,8000000,7983677,20.0,10.0
746,1917110000000000.0,8000029,5645388,10.0,1.0
790,1930240000000000.0,8000000,7972548,120.0,1.0
2476,1983930000000000.0,7992222,1265079,10.0,1.0
2024,1952430000000000.0,7984452,7972403,0.5,0.5
7071,1930930000000000.0,8000029,7128255,10.0,100.0
2570,2002390000000000.0,7976682,7734347,10.0,1.0
5324,1911120000000000.0,7976693,7964319,0.01,1.0
8540,1861690000000000.0,7992222,7973042,20.0,16.0
6915,1920650000000000.0,8003892,7990501,1.0,10.0
5267,1921450000000000.0,8000029,6931370,1.0,10.0
4222,1944630000000000.0,8000029,7980350,1.0,1.0
4071,1920180000000000.0,8000029,7996968,100.0,40.0
259,1921080000000000.0,7992222,7976498,1.0,10.0
2163,1966700000000000.0,8000029,3849563,16.5,1.0
8066,1884800000000000.0,8003118,7987116,1.0,10.0
380,1911640000000000.0,7992259,7943041,1.0,10.0
6890,1910360000000000.0,7984452,7982087,1.0,10.0
8207,1895810000000000.0,7976682,7967537,10.0,10.0
1912,1926900000000000.0,8014584,7990244,1.0,1.0
3121,1941410000000000.0,7996107,7991258,100.0,1.0
599,1906900000000000.0,7992222,6733523,1.0,10.0
45,1901600000000000.0,7992222,7978189,10.0,1.0
1444,1947940000000000.0,7992222,7991026,1.0,1.0
1652,1937400000000000.0,8003519,7972818,10.0,10.0
2699,1992570000000000.0,8000029,3887471,0.1,10.0
7699,1941030000000000.0,8007772,8004200,1.0,104.0
1893,1935400000000000.0,7976682,7956615,10.0,147.0
4084,1920180000000000.0,7999992,7269745,10.0,12.0
2406,1977190000000000.0,8005629,7997362,1.0,10.0
5221,1915850000000000.0,8003882,7984079,10.0,10.0
8673,1884500000000000.0,8000029,7987766,10.0,1.0
3127,1943310000000000.0,8000029,224071,100.0,1.0
1966,1938200000000000.0,7996137,7941540,0.5,10.0
2818,1952990000000000.0,7992222,1904496,1.0,1.0
5593,1923180000000000.0,7992185,7986535,1.0,10.0
3717,1888700000000000.0,8000029,7993696,1.0,1.0
6771,1899260000000000.0,8000029,7924451,10.0,10.0
1600,1935540000000000.0,7988246,7969085,1.0,1.0
5849,1907170000000000.0,8000029,7980717,10.0,20.0
1392,1950820000000000.0,7984452,7964306,10.0,1.0
4405,1941700000000000.0,7976682,7698521,10.0,10.0
4918,1944260000000000.0,7976682,7966420,10.0,10.0
3994,1931510000000000.0,8007818,7824942,1.0,1.0
6759,1889090000000000.0,8000029,7980254,20.0,100.0
426,1903240000000000.0,8000000,7998494,10.0,1.0
4908,1939520000000000.0,8000029,7989417,1.0,1.0
410,1905110000000000.0,7999955,7952217,100.0,100.0
7960,1893150000000000.0,7996124,7941167,10.0,10.0
7758,1926830000000000.0,8000029,7988428,1.0,10.0
6324,1928490000000000.0,7984452,6255671,10.0,10.0
8642,1874420000000000.0,7992222,7980865,1.0,20.0
3966,1931520000000000.0,8000029,7929358,10.0,10.0
4032,1933380000000000.0,8000029,7880785,1.0,10.0
7250,1950730000000000.0,7999992,7987217,1.0,1.0
5478,1931710000000000.0,8000029,7963467,1.0,1.0
3445,1896230000000000.0,7965064,7955801,1.0,20.0
210,1898710000000000.0,7992222,1659030,1.0,10.0
2487,1989750000000000.0,8000029,881140,1.0,10.0
8373,1878210000000000.0,8000029,7996137,20.0,100.0
3742,1882240000000000.0,7988781,6133539,10.0,1.0
6200,1937990000000000.0,7996119,7986284,10.0,1.0
4134,1928610000000000.0,7992222,2245333,1.0,10.0
1049,1934830000000000.0,8000357,7984682,1.0,10.0
7873,1905260000000000.0,8003921,8001723,10.0,100.0
4176,1931410000000000.0,8003920,7994817,10.0,1.0
7918,1895030000000000.0,8000029,7986494,100.0,120.0
4101,1929570000000000.0,8003349,8000860,10.0,1.0
8428,1879100000000000.0,8007765,8007693,1.0,10.0
1972,1941990000000000.0,8002036,7972291,0.01,1.0
7525,1989100000000000.0,8000029,7709153,1.0,1.0
2099,1964820000000000.0,8000000,2216007,20.0,1.0
1499,1942210000000000.0,8000000,7986779,10.0,1.0
1109,1912260000000000.0,8000029,7994706,10.0,20.0
2835,1954890000000000.0,7992222,5146910,14.820089999999999,18.0
4864,1952860000000000.0,8000029,3157501,1.0,1.0
652,1914340000000000.0,8000029,7913878,14.0,10.0
4656,1959680000000000.0,7972797,7139929,1.0,10.0
2732,1994500000000000.0,7992222,7957137,1.0,1.0
8081,1883870000000000.0,7988374,7955697,10.0,10.0
1795,1947780000000000.0,8000000,7972243,1.0,0.1
1702,1957360000000000.0,7999992,3414528,13.000100999999999,10.0
3733,1884090000000000.0,8003921,7897608,1.0,100.0
7589,1969730000000000.0,8000029,7823774,1.0,10.0
6388,1922800000000000.0,7996104,7990137,1.0,10.0
1498,1944110000000000.0,8000029,629864,1.0,10.0
2756,1971240000000000.0,7992222,7983593,1.0,1.0
3334,1891660000000000.0,8000029,8000013,20.0,10.0
5035,1946110000000000.0,7992222,7978857,1.0,10.0
2178,1967660000000000.0,7989174,7988391,1.0,1.0
4038,1929600000000000.0,7996107,7977799,1.0,1.0
7582,1971660000000000.0,8000029,7980748,100.0,1.0
4818,1950010000000000.0,8000029,7993006,100.0,10.0
4115,1927680000000000.0,7984415,7859956,10.0,1.0
705,1922750000000000.0,7999992,7332784,1.0,10.0
1872,1939190000000000.0,7986982,7968769,10.0,1.0
7070,1929980000000000.0,8000029,7979508,100.0,100.0
7865,1911790000000000.0,7994220,6924303,100.0,1.0
4053,1923950000000000.0,8011671,8009643,1.0,1.0
6063,1922960000000000.0,8000029,1900451,1.0,10.000001
8318,1883740000000000.0,8000029,7925833,100.0,1.0
3397,1900890000000000.0,7976682,7795645,1.0,100.0
4191,1937080000000000.0,8003883,7991185,20.0,0.1
7080,1930930000000000.0,8002885,7997297,1.0,10.0
5239,1913030000000000.0,8007775,8007248,1.0,20.0
6633,1924550000000000.0,8000029,7980728,100.0,10.0
565,1901330000000000.0,8000029,7980741,10.0,10.0
7613,1979360000000000.0,8000029,7983798,20.0,140.0
4024,1931500000000000.0,7984452,7979332,10.0,1.0
3060,1944300000000000.0,7984452,7981693,10.0,10.0
640,1907810000000000.0,8000029,4463395,10.0,10.0
3418,1908330000000000.0,8000012,7999194,10.0,1.0
5824,1909040000000000.0,7992305,7971492,20.0,1.0
2778,1974120000000000.0,8000029,7997983,40.0,1.0
507,1900420000000000.0,7984452,531078,10.0,1.0
6107,1922940000000000.0,8000029,969174,10.0,10.0
1964,1940090000000000.0,7996107,7989358,10.0,10.0
6318,1930370000000000.0,7984452,7981292,10.0,20.0
3979,1927740000000000.0,8000029,7979456,1.0,100.0
325,1912620000000000.0,8003725,7998780,10.0,120.0
6151,1933280000000000.0,7992285,7983295,10.0,1.0
2338,2002500000000000.0,7982269,7570765,1.0,10.0
5566,1927890000000000.0,7992148,3771767,10.0,10.0
4504,1965510000000000.0,8000029,7991272,10.0,10.0
6774,1901110000000000.0,8000029,7998646,10.0,1.0
2237,1992780000000000.0,8000000,7980135,10.0,10.0
6312,1928490000000000.0,8000000,7983330,1.0,0.1
4482,1954030000000000.0,8000029,3980573,10.000010000000001,1.0
5212,1918670000000000.0,8000029,7992058,10.0,1.0
8583,1865310000000000.0,8000029,7915864,100.0,100.0
4141,1929550000000000.0,8007651,5621841,1.0,1.0
5418,1930790000000000.0,7999992,4932481,10.0,1.0
864,1945360000000000.0,7957220,7944899,10.0,20.0
6804,1895530000000000.0,7992222,7983593,10.0,1.0
8057,1880200000000000.0,7984452,2043317,1.0,1.0
2921,1949120000000000.0,7999992,7984841,10.0,10.0
