,gasprice,height,heightl1,totaldifficulty,totaldiffl1,difficulty,diffl1,gaslimit,limitl1,rate,ratel1,timestamp,timestampl1,gaspricel1,gaspricel2,gaspricel3,gaspricel4,gaspricel5,confirmtime,conl1,conl2,conl3,conl4,conl5,timespan1,timespan2,timespan3,timespan4,timespan5
0,1.7,7128593,7128592,8890508619679116358784,8890505916139689418466,2703539426940318,2701670496079517,50000,21000,95.24,116.14,1548469521,1548469519,41.0,5.0,1.7,3.0,3.02,18.0,1.0,49.0,33.0,3.0,17.0,2,3,69,21,27
1,1.6,7128594,7128593,8890511323768299112990,8890508619679116358784,2704089182754206,2703539426940318,54224,50000,112.7,95.24,1548469535,1548469521,1.7,41.0,5.0,1.7,3.0,10.0,18.0,1.0,49.0,33.0,3.0,14,2,3,69,21
2,1.6,7128595,7128594,8890514024446169542286,8890511323768299112990,2700677870429296,2704089182754206,60000,54224,115.89,112.7,1548469573,1548469535,1.6,1.7,41.0,5.0,1.7,37.0,10.0,18.0,1.0,49.0,33.0,38,14,2,3,69
3,1.54491,7128596,7128595,8890516724355105419050,8890514024446169542286,2699908935876764,2700677870429296,150000,60000,107.11,115.89,1548469597,1548469573,1.6,1.6,1.7,41.0,5.0,12.0,37.0,10.0,18.0,1.0,49.0,24,38,14,2,3
4,2.0,7128597,7128596,8890519423495482199606,8890516724355105419050,2699140376780556,2699908935876764,104346,150000,115.0,107.11,1548469617,1548469597,1.54491,1.6,1.6,1.7,41.0,30.0,12.0,37.0,10.0,18.0,1.0,20,24,38,14,2
5,8.05039,7128598,7128597,8890522124503554431149,8890519423495482199606,2701008072231543,2699140376780556,52412,104346,118.5,115.0,1548469621,1548469617,2.0,1.54491,1.6,1.6,1.7,15.0,30.0,12.0,37.0,10.0,18.0,4,20,24,38,14
6,2.0,7128599,7128598,8890524823423679281042,8890522124503554431149,2698920124849893,2701008072231543,420000,52412,108.84,118.5,1548469651,1548469621,8.05039,2.0,1.54491,1.6,1.6,23.0,15.0,30.0,12.0,37.0,10.0,30,4,20,24,38
7,2.0,7128600,7128599,8890527522893559944823,8890524823423679281042,2699469880663781,2698920124849893,21040,420000,116.4,108.84,1548469661,1548469651,2.0,8.05039,2.0,1.54491,1.6,1.0,23.0,15.0,30.0,12.0,37.0,10,30,4,20,24
8,1.6,7128601,7128600,8890530222913196422492,8890527522893559944823,2700019636477669,2699469880663781,70000,21040,119.13,116.4,1548469671,1548469661,2.0,2.0,8.05039,2.0,1.54491,7.0,1.0,23.0,15.0,30.0,12.0,10,10,30,4,20
9,2.0,7128602,7128601,8890532924800957677172,8890530222913196422492,2701887761254680,2700019636477669,3000000,70000,116.16,119.13,1548469678,1548469671,1.6,2.0,2.0,8.05039,2.0,5.0,7.0,1.0,23.0,15.0,30.0,7,10,10,30,4
10,2.0,7128603,7128602,8890535627238474745740,8890532924800957677172,2702437517068568,2701887761254680,500000,3000000,121.78,116.16,1548469695,1548469678,2.0,1.6,2.0,2.0,8.05039,10.0,5.0,7.0,1.0,23.0,15.0,17,7,10,10,30
11,1.6,7128605,7128603,8890541027163363981652,8890535627238474745740,2700896265060099,2702437517068568,250000,500000,99.21,121.78,1548469739,1548469695,2.0,2.0,1.6,2.0,2.0,32.0,10.0,5.0,7.0,1.0,23.0,44,17,7,10,10
12,1.6,7128606,7128605,8890543728609384855639,8890541027163363981652,2701446020873987,2700896265060099,21000,250000,129.87,99.21,1548469748,1548469739,1.6,2.0,2.0,1.6,2.0,2.0,32.0,10.0,5.0,7.0,1.0,9,44,17,7,10
13,2.0,7128607,7128606,8890546431924226983393,8890543728609384855639,2703314842127754,2701446020873987,55000,21000,108.11,129.87,1548469751,1548469748,1.6,1.6,2.0,2.0,1.6,1.0,2.0,32.0,10.0,5.0,7.0,3,9,44,17,7
