,gasprice,height,difficulty,gaslimit,gasused,timestamp,gaspricel1,gaspricel2,avegasprice,avel1,avel2,timespan1,timespan2
0,10,4832688,1.89698E+15,8000029,780039,1514779214,1,10,31.04545909,21.68806818,25.4431952,2,12
1,1,4832689,1.89883E+15,8000000,7975783,1514779219,10,1,14.5157489,31.04545909,21.68806818,5,7
2,1,4832690,1.89976E+15,8003872,7997164,1514779225,1,10,17.80328987,14.5157489,31.04545909,6,11
3,1,4832691,1.89976E+15,7996070,7985087,1514779234,1,1,15.15441085,17.80328987,14.5157489,9,15
4,10,4832692,1.89976E+15,8000029,6636734,1514779251,1,1,18.54478244,15.15441085,17.80328987,17,26
5,10,4832693,1.90068E+15,7992222,1661349,1514779257,10,1,23.41724138,18.54478244,15.15441085,6,23
6,1,4832694,1.89976E+15,7999992,7983478,1514779282,10,10,14.25041063,23.41724138,18.54478244,25,31
7,1,4832695,1.89976E+15,8003875,7986886,1514779298,1,10,21.65801918,14.25041063,23.41724138,16,41
8,1,4832696,1.90068E+15,8007759,7987839,1514779304,1,1,14.55164947,21.65801918,14.25041063,6,22
9,10,4832697,1.90161E+15,8000029,874895,1514779306,1,1,28.425,14.55164947,21.65801918,2,8
10,1,4832698,1.90254E+15,7992222,7989220,1514779314,10,1,52631598.93,28.425,14.55164947,8,10
11,1,4832699,1.90254E+15,8000000,7769583,1514779328,1,10,23.56598714,52631598.93,28.425,14,22
12,1,4832700,1.90161E+15,8003570,7995484,1514779346,1,1,21.96615465,23.56598714,52631598.93,18,32
13,1,4832701,1.90254E+15,8007468,7984563,1514779353,1,1,21.03543598,21.96615465,23.56598714,7,25
14,0.1,4832702,1.9044E+15,8000029,7982365,1514779358,1,1,14.15754373,21.03543598,21.96615465,5,12
15,1,4832703,1.9044E+15,7992222,4712603,1514779371,0.1,1,21.42704103,14.15754373,21.03543598,13,18
16,10,4832704,1.90254E+15,7999992,7990444,1514779405,1,0.1,23.38464211,21.42704103,14.15754373,34,47
17,10,4832705,1.90161E+15,8000029,7988522,1514779427,10,1,22.64378899,23.38464211,21.42704103,22,56
18,0.01,4832706,1.90347E+15,8000029,7994597,1514779435,10,10,17.42334026,22.64378899,23.38464211,8,30
19,10,4832707,1.90347E+15,8003928,7979591,1514779450,0.01,10,25.7992915,17.42334026,22.64378899,15,23
20,0.1,4832708,1.90532E+15,7996144,7950430,1514779456,10,0.01,14.7886638,25.7992915,17.42334026,6,21
21,1,4832709,1.90626E+15,7999983,7984439,1514779461,0.1,10,11.59034826,14.7886638,25.7992915,5,11
22,1,4832710,1.90626E+15,8003867,7958914,1514779478,1,0.1,17.84055556,11.59034826,14.7886638,17,22
23,1,4832711,1.90719E+15,8007710,7972122,1514779487,1,1,23.50753507,17.84055556,11.59034826,9,26
24,10,4832712,1.90812E+15,7999918,2477138,1514779494,1,1,20.8543158,23.50753507,17.84055556,7,16
25,10,4832713,1.90719E+15,7992111,7962267,1514779516,10,1,25.86533517,20.8543158,23.50753507,22,29
26,10,4832714,1.90719E+15,7999914,7993692,1514779528,10,10,16.40813483,25.86533517,20.8543158,12,34
27,10,4832715,1.90812E+15,8000029,2715968,1514779534,10,10,33.26000604,16.40813483,25.86533517,6,18
28,10,4832716,1.90812E+15,8000029,4076358,1514779554,10,10,23.94230649,33.26000604,16.40813483,20,26
29,1,4832717,1.90905E+15,8000000,7988663,1514779557,10,10,12.05638511,23.94230649,33.26000604,3,23
30,10,4832718,1.90718E+15,8000029,7530248,1514779585,1,10,24.06252278,12.05638511,23.94230649,28,31
31,10,4832719,1.90625E+15,7992222,4870359,1514779610,10,1,28.98925236,24.06252278,12.05638511,25,53
32,10,4832720,1.90439E+15,7999992,7981259,1514779640,10,10,24.60020596,28.98925236,24.06252278,30,55
33,10,4832721,1.90439E+15,7992185,7980769,1514779662,10,10,21.24612258,24.60020596,28.98925236,22,52
34,10,4832722,1.90532E+15,7984415,2909418,1514779668,10,10,19.80734223,21.24612258,24.60020596,6,28
35,1,4832723,1.90625E+15,7992211,7961953,1514779672,10,10,16.45465347,19.80734223,21.24612258,4,10
36,1,4832724,1.90532E+15,7984415,7982287,1514779690,1,10,19.01310706,16.45465347,19.80734223,18,22
