,gasprice,height,heightl1,difficulty,diffl1,gaslimit,limitl1,gasused,gasusedl1,timestamp,timestampl1,gaspricel1,gaspricel2,avegasprice,maxgasprice,avel1,avel2,timespan1,timespan2,confirmtime
0,4,4832688,4832687,1.89698E+15,1.89605E+15,8000029,7999955,780039,7985801,1514779214,1514779212,1,4,31.045455,55,21.688091,25.443209,2,12,53.60679067
1,0.5,4832689,4832688,1.89883E+15,1.89698E+15,8000000,8000029,7975783,780039,1514779219,1514779214,4,1,14.515748,51,31.045455,21.688091,5,7,45.92145687
2,1,4832690,4832689,1.89976E+15,1.89883E+15,8003872,8000000,7997164,7975783,1514779225,1514779219,0.5,4,17.803289,91,14.515748,31.045455,6,11,46.50153952
3,0.2,4832691,4832690,1.89976E+15,1.89976E+15,7996070,8003872,7985087,7997164,1514779234,1514779225,1,0.5,15.154526,51,17.803289,14.515748,9,15,44.92091456
4,3,4832692,4832691,1.89976E+15,1.89976E+15,8000029,7996070,6636734,7985087,1514779251,1514779234,0.2,1,18.544797,51,15.154526,17.803289,17,26,42.43102451
5,4,4832693,4832692,1.90068E+15,1.89976E+15,7992222,8000029,1661349,6636734,1514779257,1514779251,3,0.2,23.417241,55,18.544797,15.154526,6,23,44.53096647
6,1,4832694,4832693,1.89976E+15,1.90068E+15,7999992,7992222,7983478,1661349,1514779282,1514779257,4,3,14.250401,70,23.417241,18.544797,25,31,40.74053707
7,1,4832695,4832694,1.89976E+15,1.89976E+15,8003875,7999992,7986886,7983478,1514779298,1514779282,1,4,21.658018,58,14.250401,23.417241,16,41,45.0920052
8,1,4832696,4832695,1.90068E+15,1.89976E+15,8007759,8003875,7987839,7986886,1514779304,1514779298,1,1,14.551648,58,21.658018,14.250401,6,22,57.93320044
9,10,4832697,4832696,1.90161E+15,1.90068E+15,8000029,8007759,874895,7987839,1514779306,1514779304,1,1,28.425,55,14.551648,21.658018,2,8,49.8505645
10,0.12,4832698,4832697,1.90254E+15,1.90161E+15,7992222,8000029,7989220,874895,1514779314,1514779306,10,1,52631598.93,4000000000,28.425,14.551648,8,10,44.46853355
11,1,4832699,4832698,1.90254E+15,1.90254E+15,8000000,7992222,7769583,7989220,1514779328,1514779314,0.12,10,23.565986,100,52631598.93,28.425,14,22,44.97695591
12,1,4832700,4832699,1.90161E+15,1.90254E+15,8003570,8000000,7995484,7769583,1514779346,1514779328,1,0.12,21.966133,70,23.565986,52631598.93,18,32,54.63609777
13,1,4832701,4832700,1.90254E+15,1.90161E+15,8007468,8003570,7984563,7995484,1514779353,1514779346,1,1,21.035435,56.71,21.966133,23.565986,7,25,42.82424001
14,0.1,4832702,4832701,1.9044E+15,1.90254E+15,8000029,8007468,7982365,7984563,1514779358,1514779353,1,1,14.157529,51,21.035435,21.966133,5,12,48.84297617
15,1,4832703,4832702,1.9044E+15,1.9044E+15,7992222,8000029,4712603,7982365,1514779371,1514779358,0.1,1,21.427027,70,14.157529,21.035435,13,18,57.73790089
16,5,4832704,4832703,1.90254E+15,1.9044E+15,7999992,7992222,7990444,4712603,1514779405,1514779371,1,0.1,23.384637,200,21.427027,14.157529,34,47,50.14454641
17,4,4832705,4832704,1.90161E+15,1.90254E+15,8000029,7999992,7988522,7990444,1514779427,1514779405,5,1,22.643795,70,23.384637,21.427027,22,56,49.55058057
18,0.01,4832706,4832705,1.90347E+15,1.90161E+15,8000029,8000029,7994597,7988522,1514779435,1514779427,4,5,17.423333,60,22.643795,23.384637,8,30,55.2387562
19,10,4832707,4832706,1.90347E+15,1.90347E+15,8003928,8000029,7979591,7994597,1514779450,1514779435,0.01,4,25.799294,200,17.423333,22.643795,15,23,57.46877009
20,0.1,4832708,4832707,1.90532E+15,1.90347E+15,7996144,8003928,7950430,7979591,1514779456,1514779450,10,0.01,14.78863,51,25.799294,17.423333,6,21,46.78138086
21,1,4832709,4832708,1.90626E+15,1.90532E+15,7999983,7996144,7984439,7950430,1514779461,1514779456,0.1,10,11.590348,63,14.78863,25.799294,5,11,41.22782676
22,1,4832710,4832709,1.90626E+15,1.90626E+15,8003867,7999983,7958914,7984439,1514779478,1514779461,1,0.1,17.840585,91,11.590348,14.78863,17,22,47.52562441
23,1,4832711,4832710,1.90719E+15,1.90626E+15,8007710,8003867,7972122,7958914,1514779487,1514779478,1,1,23.507456,200,17.840585,11.590348,9,26,59.91760068
24,4,4832712,4832711,1.90812E+15,1.90719E+15,7999918,8007710,2477138,7972122,1514779494,1514779487,1,1,20.854167,70,23.507456,17.840585,7,16,47.25437357
25,4,4832713,4832712,1.90719E+15,1.90812E+15,7992111,7999918,7962267,2477138,1514779516,1514779494,4,1,25.865333,70,20.854167,23.507456,22,29,45.50290458
26,2.5,4832714,4832713,1.90719E+15,1.90719E+15,7999914,7992111,7993692,7962267,1514779528,1514779516,4,4,16.408113,68,25.865333,20.854167,12,34,49.17647582
27,4,4832715,4832714,1.90812E+15,1.90719E+15,8000029,7999914,2715968,7993692,1514779534,1514779528,2.5,4,33.26,60,16.408113,25.865333,6,18,50.91624986
28,4,4832716,4832715,1.90812E+15,1.90812E+15,8000029,8000029,4076358,2715968,1514779554,1514779534,4,2.5,23.942347,70,33.26,16.408113,20,26,49.28440801
29,1,4832717,4832716,1.90905E+15,1.90812E+15,8000000,8000029,7988663,4076358,1514779557,1514779554,4,4,12.056383,63,23.942347,33.26,3,23,53.14753796
30,4,4832718,4832717,1.90718E+15,1.90905E+15,8000029,8000000,7530248,7988663,1514779585,1514779557,1,4,24.063243,100,12.056383,23.942347,28,31,41.63032209
31,4,4832719,4832718,1.90625E+15,1.90718E+15,7992222,8000029,4870359,7530248,1514779610,1514779585,4,1,28.989291,200,24.063243,12.056383,25,53,54.86901155
32,4,4832720,4832719,1.90439E+15,1.90625E+15,7999992,7992222,7981259,4870359,1514779640,1514779610,4,4,24.600222,200,28.989291,24.063243,30,55,51.92797499
33,4,4832721,4832720,1.90439E+15,1.90439E+15,7992185,7999992,7980769,7981259,1514779662,1514779640,4,4,21.246128,60,24.600222,28.989291,22,52,50.71740605
34,4,4832722,4832721,1.90532E+15,1.90439E+15,7984415,7992185,2909418,7980769,1514779668,1514779662,4,4,19.807379,55,21.246128,24.600222,6,28,51.5494723
35,1,4832723,4832722,1.90625E+15,1.90532E+15,7992211,7984415,7961953,2909418,1514779672,1514779668,4,4,16.454653,70,19.807379,21.246128,4,10,47.54018136
36,0.5,4832724,4832723,1.90532E+15,1.90625E+15,7984415,7992211,7982287,7961953,1514779690,1514779672,1,4,19.013185,60,16.454653,19.807379,18,22,52.38212615
37,4,4832725,4832724,1.90625E+15,1.90532E+15,7992185,7984415,2857241,7982287,1514779693,1514779690,0.5,1,25.047619,55,19.013185,16.454653,3,21,42.4287491
