,height,date,difficulty,gaslimit,rate,gasprice,confirmtime
0,7128588,26102319,2.71005,210000,114.75,17.564,0
1,7128588,26102319,2.71005,50000,95.24,5,0
2,7128588,26102319,2.71005,250000,118.53,4,0
3,7128588,26102319,2.71005,30000,111.11,30,0
4,7128588,26102319,2.71005,40753,113.38,12,2
5,7128588,26102319,2.71005,70000,118.93,20,2
6,7128588,26102319,2.71005,55000,114.03,10,2
7,7128588,26102319,2.71005,70000,118.93,20,2
8,7128588,26102319,2.71005,35000,120.28,8.05,2
9,7128588,26102319,2.71005,70000,119.13,20,2
10,7128588,26102319,2.71005,70000,118.93,20,2
11,7128588,26102319,2.71005,50000,95.24,5,2
12,7128588,26102319,2.71005,21000,129.87,11,2
13,7128588,26102319,2.71005,35000,120.28,8.05,2
14,7128588,26102319,2.71005,121000,89.91,5,4
15,7128588,26102319,2.71005,21000,115.82,3.02,4
16,7128588,26102319,2.71005,70000,119.13,20,4
17,7128588,26102319,2.71005,60000,119.05,8,4
18,7128588,26102319,2.71005,21000,126.98,15,6
19,7128588,26102319,2.71005,25200,119.05,8,6
20,7128588,26102319,2.71005,21000,119.05,8,9
21,7128588,26102319,2.71005,21000,95.24,10,9
22,7128588,26102319,2.71005,55000,109.65,5.3,11
23,7128588,26102319,2.71005,47008,133.99,7,11
24,7128588,26102319,2.71005,107000,118.3,11,13
25,7128588,26102319,2.71005,1600000,136.05,7,13
26,7128588,26102319,2.71005,22000,123.46,27,13
27,7128588,26102319,2.71005,1600000,136.05,7,13
28,7128588,26102319,2.71005,1600000,136.05,7,13
29,7128588,26102319,2.71005,60000,106.87,7,13
30,7128588,26102319,2.71005,60000,106.75,20,13
31,7128588,26102319,2.71005,50000,95.24,5,15
32,7128588,26102319,2.71005,50000,95.24,5,17
33,7128588,26102319,2.71005,25200,119.05,8,17
34,7128588,26102319,2.71005,4000000,114.29,25,17
35,7128588,26102319,2.71005,21000,119.05,8,19
36,7128588,26102319,2.71005,120000,123.22,15,19
37,7128588,26102319,2.71005,53441,130.07,6,19
38,7128588,26102319,2.71005,30400,117.1,61,19
39,7128588,26102319,2.71005,21000,95.24,10,19
40,7128588,26102319,2.71005,60000,115.82,6.667,21
41,7128588,26102319,2.71005,50000,95.24,5,21
42,7128588,26102319,2.71005,45000,109.94,3.3,25
43,7128589,26102346,2.70796,60000,115.89,10,0
44,7128589,26102346,2.70796,21000,95.24,10,0
45,7128589,26102346,2.70796,70000,118.93,20,3
46,7128589,26102346,2.70796,70000,118.93,20,3
47,7128589,26102346,2.70796,60000,115.71,3,3
48,7128589,26102346,2.70796,76869,129.93,3,3
49,7128589,26102346,2.70796,70000,118.93,20,3
50,7128589,26102346,2.70796,70000,119.13,20,3
51,7128589,26102346,2.70796,121000,89.91,5,5
52,7128589,26102346,2.70796,90000,115.69,11,5
53,7128589,26102346,2.70796,50000,95.24,5,5
54,7128589,26102346,2.70796,90000,110.23,10,5
55,7128589,26102346,2.70796,400000,117.4,14,5
56,7128589,26102346,2.70796,90000,126.96,15,5
57,7128590,26102407,2.70718,1600000,115.84,3.3,18
58,7128590,26102407,2.70718,55048,115.56,2,31
59,7128590,26102407,2.70718,67882,95.75,2,33
60,7128590,26102407,2.70718,64216,77.86,2,35
61,7128590,26102407,2.70718,1285945,116.65,2,35
62,7128590,26102407,2.70718,157941,94.97,2,35
63,7128590,26102407,2.70718,1600000,115.69,3.3,42
64,7128590,26102407,2.70718,300000,110.71,1.7,46
