,difficulty,gaslimit,rate,gasprice,confirmtime
0,2.71005,210000,114.75,17.564,0
1,2.71005,50000,95.24,5,0
2,2.71005,250000,118.53,4,0
3,2.71005,30000,111.11,30,0
4,2.71005,40753,113.38,12,2
5,2.71005,70000,118.93,20,2
6,2.71005,55000,114.03,10,2
7,2.71005,70000,118.93,20,2
8,2.71005,35000,120.28,8.05,2
9,2.71005,70000,119.13,20,2
10,2.71005,70000,118.93,20,2
11,2.71005,50000,95.24,5,2
12,2.71005,21000,129.87,11,2
13,2.71005,35000,120.28,8.05,2
14,2.71005,121000,89.91,5,4
15,2.71005,21000,115.82,3.02,4
16,2.71005,70000,119.13,20,4
17,2.71005,60000,119.05,8,4
18,2.71005,21000,126.98,15,6
19,2.71005,25200,119.05,8,6
20,2.71005,21000,119.05,8,9
21,2.71005,21000,95.24,10,9
22,2.71005,55000,109.65,5.3,11
23,2.71005,47008,133.99,7,11
24,2.71005,107000,118.3,11,13
25,2.71005,1600000,136.05,7,13
26,2.71005,22000,123.46,27,13
27,2.71005,1600000,136.05,7,13
28,2.71005,1600000,136.05,7,13
29,2.71005,60000,106.87,7,13
30,2.71005,60000,106.75,20,13
31,2.71005,50000,95.24,5,15
32,2.71005,50000,95.24,5,17
33,2.71005,25200,119.05,8,17
34,2.71005,4000000,114.29,25,17
35,2.71005,21000,119.05,8,19
36,2.71005,120000,123.22,15,19
37,2.71005,53441,130.07,6,19
38,2.71005,30400,117.1,61,19
39,2.71005,21000,95.24,10,19
40,2.71005,60000,115.82,6.667,21
41,2.71005,50000,95.24,5,21
42,2.71005,45000,109.94,3.3,25
43,2.70796,60000,115.89,10,0
44,2.70796,21000,95.24,10,0
45,2.70796,70000,118.93,20,3
46,2.70796,70000,118.93,20,3
47,2.70796,60000,115.71,3,3
48,2.70796,76869,129.93,3,3
49,2.70796,70000,118.93,20,3
50,2.70796,70000,119.13,20,3
51,2.70796,121000,89.91,5,5
52,2.70796,90000,115.69,11,5
53,2.70796,50000,95.24,5,5
54,2.70796,90000,110.23,10,5
55,2.70796,400000,117.4,14,5
56,2.70796,90000,126.96,15,5
57,2.70718,1600000,115.84,3.3,18
58,2.70718,55048,115.56,2,31
59,2.70718,67882,95.75,2,33
60,2.70718,64216,77.86,2,35
61,2.70718,1285945,116.65,2,35
62,2.70718,157941,94.97,2,35
63,2.70718,1600000,115.69,3.3,42
64,2.70718,300000,110.71,1.7,46
65,2.6998,21000,95.24,10,1
66,2.6998,41906,118.12,20,1
67,2.6998,90000,118.54,21,1
68,2.6998,90000,126.96,15,3
69,2.6998,52381,114.57,20,7
70,2.6998,21000,95.24,10,7
71,2.6998,21000,119.05,60,9
72,2.6998,45192,110.64,8,9
73,2.6998,55000,117.6,41,9
74,2.6998,90000,119.05,20,9
75,2.6998,90000,111.48,21,11
76,2.6998,90000,120.33,21,11
77,2.6998,21000,119.05,12,11
78,2.6998,150000,114.62,10,13
79,2.6998,21000,136.05,7,15
80,2.6998,25200,91.1,5.227,15
81,2.6998,250000,109.78,8,17
82,2.6998,60000,115.96,6.667,17
83,2.6998,100000,113.37,26,18
84,2.6998,99000,120.13,9,43
85,2.6998,50000,95.24,5,43
86,2.6998,21000,119.05,12,45
87,2.6998,90000,112.78,38,45
88,2.6998,21000,109.89,13,47
89,2.6998,21000,119.05,40,47
90,2.6998,1000000,115.7,20,47
91,2.6998,50000,95.24,5,47
92,2.6998,21000,119.05,40,49
93,2.6998,21000,119.05,40,49
94,2.6998,32945,113.83,40,49
95,2.6998,3000000,102.04,14,49
96,2.6998,50000,95.24,5,49
97,2.6998,21000,119.05,40,49
98,2.6998,21000,118.3,8.05,53
99,2.6998,60000,120.12,9,53
100,2.6998,21000,95.24,10,53
101,2.70167,21000,116.14,41,1
102,2.70354,21000,126.98,15,1
103,2.70354,90000,95.22,10,1
104,2.70354,21000,115.74,2,1
105,2.70354,60000,115.89,10,1
106,2.70354,21000,95.24,10,1
107,2.70354,21000,116.29,3,1
108,2.70354,250000,118.06,16,1
109,2.70354,70000,118.93,20,2
110,2.70354,70000,118.93,20,2
111,2.70354,21000,95.24,10,3
112,2.70354,67882,95.75,2,3
113,2.70354,50000,95.24,5,3
114,2.70354,441305,120.26,1.7,3
115,2.70354,114011,86.79,1.8,3
116,2.70354,77367,115.59,1.8,3
117,2.70354,79665,94.14,2,3
118,2.70354,114028,86.77,1.8,3
119,2.70354,72471,137.99,3,6
120,2.70354,52967,125.86,3,8
121,2.70354,65278,101.98,2,8
122,2.70354,50000,95.24,5,10
123,2.70354,50000,95.24,5,12
124,2.70354,53000,115.81,3,16
125,2.70354,185875,106.99,3,16
126,2.70354,50000,95.24,5,18
127,2.70354,65278,101.98,2,20
128,2.70354,110205,136.11,2,50
129,2.70354,100000,106.66,2,52
130,2.70354,52393,115.65,2,56
131,2.70409,52000,116.86,41,1
